Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Russia,Premier League,2013/2014,13/04/2014,10:30,Lokomotiv Moscow,FK Anzi Makhackala,0,0,D,1.58,4.24,6.32,1.58,4.55,7.7,1.48,4,6.77
Russia,Premier League,2013/2014,13/04/2014,13:00,Rubin Kazan,Kuban,0,2,A,2.33,3.15,3.56,2.35,3.3,3.8,2.19,3.12,3.36
Russia,Premier League,2013/2014,14/04/2014,16:00,Volga N. Novgorod,Dynamo Moscow,0,5,A,8.32,4.66,1.45,9.2,5.2,1.45,7.48,4.26,1.41
Russia,Premier League,2013/2014,18/04/2014,14:00,Amkar,Ural,0,2,A,2.21,3.44,3.55,2.3,3.5,3.6,2.18,3.26,3.22
Russia,Premier League,2013/2014,19/04/2014,10:00,Tomsk,FK Krylya Sovetov Samara,2,0,H,2.37,3.12,3.55,2.48,3.12,3.55,2.29,2.99,3.28
Russia,Premier League,2013/2014,19/04/2014,12:30,Lokomotiv Moscow,Akhmat Grozny,2,1,H,1.53,4.22,7.41,1.59,4.35,8.1,1.53,3.87,6.19
Russia,Premier League,2013/2014,19/04/2014,15:00,FK Anzi Makhackala,Zenit,1,2,A,5.95,4.17,1.63,6.5,4.3,1.65,5.52,3.79,1.59
Russia,Premier League,2013/2014,20/04/2014,10:30,Rubin Kazan,Spartak Moscow,2,1,H,2.41,3.24,3.31,2.7,3.35,3.31,2.45,3.13,2.91
Russia,Premier League,2013/2014,20/04/2014,13:00,Dynamo Moscow,Krasnodar,1,2,A,1.7,3.89,5.52,1.8,4,5.52,1.67,3.65,5
Russia,Premier League,2013/2014,20/04/2014,15:30,Kuban,CSKA Moscow,0,4,A,5.25,3.78,1.76,5.5,3.78,1.85,4.72,3.51,1.74
Russia,Premier League,2013/2014,21/04/2014,16:00,Volga N. Novgorod,FK Rostov,2,1,H,3.73,3.41,2.16,4,3.8,2.2,3.67,3.34,1.99
Russia,Premier League,2013/2014,25/04/2014,16:00,FK Krylya Sovetov Samara,Amkar,2,2,D,1.96,3.44,4.45,1.96,3.65,4.75,1.89,3.31,4.09
Russia,Premier League,2013/2014,26/04/2014,11:00,Ural,Tomsk,0,0,D,2.37,3.12,3.53,2.37,3.3,3.85,2.21,3.06,3.4
Russia,Premier League,2013/2014,26/04/2014,13:30,Zenit,Volga N. Novgorod,2,0,H,1.14,9.35,23,1.16,10.5,29,1.13,7.79,18.27
Russia,Premier League,2013/2014,26/04/2014,16:00,Krasnodar,Lokomotiv Moscow,1,3,A,3.13,3.36,2.46,3.3,3.45,2.46,3,3.27,2.3
Russia,Premier League,2013/2014,27/04/2014,10:30,CSKA Moscow,Rubin Kazan,2,1,H,1.54,4.18,7.3,1.54,4.6,8.8,1.48,4.07,6.59
Russia,Premier League,2013/2014,27/04/2014,13:00,FK Rostov,FK Anzi Makhackala,1,1,D,3.41,3.41,2.28,3.65,3.6,2.3,3.24,3.2,2.2
Russia,Premier League,2013/2014,27/04/2014,15:30,Akhmat Grozny,Dynamo Moscow,1,0,H,3.44,3.11,2.41,3.45,3.35,2.42,3.19,3.12,2.26
Russia,Premier League,2013/2014,28/04/2014,17:30,Spartak Moscow,Kuban,0,2,A,1.56,4.07,7.16,1.65,4.35,7.5,1.55,3.82,6.07
Russia,Premier League,2013/2014,02/05/2014,11:00,Amkar,CSKA Moscow,1,3,A,7.76,4.33,1.5,8.8,4.6,1.52,7.2,4.02,1.46
Russia,Premier League,2013/2014,02/05/2014,13:30,Volga N. Novgorod,Krasnodar,0,1,A,5.33,3.98,1.71,5.6,4,1.75,4.68,3.64,1.71
Russia,Premier League,2013/2014,02/05/2014,16:00,FK Rostov,Dynamo Moscow,2,3,A,4.62,3.91,1.81,5.3,3.91,1.83,4.52,3.52,1.76
Russia,Premier League,2013/2014,03/05/2014,11:00,Tomsk,Spartak Moscow,2,1,H,3.43,3.32,2.32,3.6,3.5,2.35,3.34,3.19,2.17
Russia,Premier League,2013/2014,03/05/2014,16:00,Kuban,FK Krylya Sovetov Samara,4,0,H,2,3.45,4.2,2.01,3.5,4.55,1.9,3.32,4.06
Russia,Premier League,2013/2014,04/05/2014,10:30,Lokomotiv Moscow,Zenit,1,1,D,3.45,3.35,2.29,3.5,3.6,2.31,3.16,3.23,2.22
Russia,Premier League,2013/2014,04/05/2014,13:30,Rubin Kazan,Ural,1,0,H,1.76,3.62,5.59,1.8,3.62,5.8,1.74,3.46,4.75
Russia,Premier League,2013/2014,04/05/2014,16:00,FK Anzi Makhackala,Akhmat Grozny,3,0,H,2.48,3.48,2.98,2.48,3.55,3.3,2.31,3.19,3.05
Russia,Premier League,2013/2014,10/05/2014,10:00,Ural,Kuban,2,1,H,2.53,3.51,2.89,2.6,3.51,3,2.43,3.2,2.83
Russia,Premier League,2013/2014,10/05/2014,12:15,FK Krylya Sovetov Samara,Rubin Kazan,0,4,A,2.95,3.35,2.59,3.3,3.55,2.59,2.87,3.18,2.42
Russia,Premier League,2013/2014,10/05/2014,14:45,Spartak Moscow,Amkar,1,0,H,1.53,4.26,7.25,1.53,4.65,7.25,1.5,4.02,6.27
Russia,Premier League,2013/2014,10/05/2014,17:00,Akhmat Grozny,Volga N. Novgorod,2,0,H,1.43,4.63,9.15,1.45,5.1,11,1.4,4.36,7.7
Russia,Premier League,2013/2014,11/05/2014,10:30,Zenit,Dynamo Moscow,0,3,A,1.48,4.72,7.2,1.55,5.1,7.6,1.47,4.22,6.35
Russia,Premier League,2013/2014,11/05/2014,12:45,CSKA Moscow,Tomsk,2,0,H,1.29,6.11,11.8,1.3,6.6,16,1.25,5.67,10.76
Russia,Premier League,2013/2014,11/05/2014,15:00,Krasnodar,FK Anzi Makhackala,1,0,H,2.33,3.93,2.91,2.36,4.15,3.1,2.25,3.56,2.85
Russia,Premier League,2013/2014,11/05/2014,17:15,FK Rostov,Lokomotiv Moscow,2,0,H,9.04,5.15,1.39,11,5.5,1.39,8.5,4.81,1.33
Russia,Premier League,2013/2014,15/05/2014,15:30,Amkar,Krasnodar,2,2,D,4.14,3.63,1.96,4.8,3.85,2.02,4,3.45,1.88
Russia,Premier League,2013/2014,15/05/2014,15:30,CSKA Moscow,Lokomotiv Moscow,1,0,H,1.78,4.1,4.56,1.8,4.25,4.76,1.73,3.76,4.41
Russia,Premier League,2013/2014,15/05/2014,15:30,FK Anzi Makhackala,FK Krylya Sovetov Samara,0,1,A,1.77,3.88,4.97,1.83,3.9,5,1.75,3.57,4.5
Russia,Premier League,2013/2014,15/05/2014,15:30,Kuban,Zenit,1,4,A,7.06,4.85,1.48,7.3,5.1,1.51,6.36,4.49,1.44
Russia,Premier League,2013/2014,15/05/2014,15:30,Rubin Kazan,Akhmat Grozny,1,1,D,1.9,3.84,4.18,1.96,3.84,4.3,1.87,3.45,4.01
Russia,Premier League,2013/2014,15/05/2014,15:30,Spartak Moscow,Dynamo Moscow,3,2,H,2.62,3.54,2.77,3,3.7,2.77,2.59,3.33,2.58
Russia,Premier League,2013/2014,15/05/2014,15:30,Tomsk,FK Rostov,3,2,H,2.25,3.41,3.49,2.45,3.55,3.49,2.28,3.21,3.09
Russia,Premier League,2013/2014,15/05/2014,15:30,Volga N. Novgorod,Ural,1,2,A,3.42,3.43,2.26,3.43,3.45,2.33,3.19,3.24,2.21
Russia,Premier League,2013/2014,18/05/2014,12:00,Ufa,Tomsk,5,1,H,3.93,3.27,2.12,3.93,3.4,2.15,3.45,3.21,2.07
Russia,Premier League,2013/2014,18/05/2014,16:00,T. Moscow,FK Krylya Sovetov Samara,2,0,H,2.55,3.22,3.1,2.6,3.22,3.1,2.43,3.09,2.86
Russia,Premier League,2013/2014,22/05/2014,13:00,Tomsk,Ufa,3,1,H,1.84,4.05,4.28,1.84,4.05,5.1,1.73,3.85,4.25
Russia,Premier League,2013/2014,22/05/2014,16:00,FK Krylya Sovetov Samara,T. Moscow,0,0,D,2.29,3.34,3.47,2.4,3.4,4,2.14,3.21,3.39
Russia,Premier League,2014/2015,01/08/2014,17:00,Rubin Kazan,Spartak Moscow,0,4,A,2.58,3.25,3.03,2.7,3.25,3.1,2.52,3.11,2.8
Russia,Premier League,2014/2015,02/08/2014,13:30,Ural,M. Saransk,2,3,A,2.15,3.31,3.85,2.3,3.31,3.9,2.12,3.15,3.5
Russia,Premier League,2014/2015,02/08/2014,16:00,Arsenal Tula,Zenit,0,4,A,8.13,4.31,1.49,8.13,4.35,1.57,6.67,3.93,1.5
Russia,Premier League,2014/2015,02/08/2014,18:30,CSKA Moscow,T. Moscow,4,1,H,1.34,5.05,12,1.37,5.4,12.36,1.32,4.77,9.59
Russia,Premier League,2014/2015,03/08/2014,13:30,Dynamo Moscow,FK Rostov,7,3,H,1.5,4.29,7.95,1.6,4.4,7.99,1.49,3.88,6.81
Russia,Premier League,2014/2015,03/08/2014,16:30,Kuban,Ufa,2,0,H,1.45,4.35,9.23,1.5,4.75,9.5,1.44,4.05,7.56
Russia,Premier League,2014/2015,03/08/2014,18:30,Lokomotiv Moscow,Krasnodar,0,0,D,2.11,3.5,3.76,2.24,3.5,3.76,2.06,3.29,3.52
Russia,Premier League,2014/2015,04/08/2014,17:00,Akhmat Grozny,Amkar,4,0,H,1.75,3.67,5.5,1.75,3.75,5.8,1.7,3.45,5.06
Russia,Premier League,2014/2015,08/08/2014,15:00,Amkar,Ufa,0,1,A,1.87,3.48,4.94,2.03,3.48,4.94,1.9,3.31,4.06
Russia,Premier League,2014/2015,08/08/2014,17:30,Kuban,FK Rostov,2,2,D,1.78,3.79,4.9,1.83,3.8,5,1.73,3.54,4.63
Russia,Premier League,2014/2015,09/08/2014,10:30,M. Saransk,CSKA Moscow,0,1,A,7.04,4.37,1.53,7.7,4.65,1.62,6.21,3.95,1.51
Russia,Premier League,2014/2015,09/08/2014,14:00,Zenit,T. Moscow,8,1,H,1.22,6.75,17,1.22,7.8,19,1.19,6.33,13.53
Russia,Premier League,2014/2015,09/08/2014,17:00,Akhmat Grozny,Rubin Kazan,1,1,D,2.09,3.35,4.03,2.17,3.5,4.55,2.07,3.23,3.55
Russia,Premier League,2014/2015,10/08/2014,10:30,Dynamo Moscow,Spartak Moscow,1,2,A,2.44,3.38,3.13,2.64,3.4,3.13,2.37,3.28,2.86
Russia,Premier League,2014/2015,10/08/2014,13:30,Ural,Krasnodar,1,1,D,4.35,3.67,1.92,5,3.7,1.95,3.98,3.41,1.88
Russia,Premier League,2014/2015,10/08/2014,16:30,Arsenal Tula,Lokomotiv Moscow,0,2,A,6.3,4.21,1.59,7.1,4.5,1.62,5.9,3.89,1.54
Russia,Premier League,2014/2015,12/08/2014,17:00,T. Moscow,Amkar,1,1,D,3.06,3.26,2.57,3.1,3.26,2.7,2.84,3.07,2.5
Russia,Premier League,2014/2015,13/08/2014,12:00,Ufa,Dynamo Moscow,0,2,A,8.5,4.67,1.44,10,5.1,1.44,7.58,4.38,1.4
Russia,Premier League,2014/2015,13/08/2014,14:30,Ural,Zenit,1,2,A,8.34,5.18,1.4,9.9,5.6,1.43,7.41,4.6,1.38
Russia,Premier League,2014/2015,13/08/2014,17:00,Arsenal Tula,Rubin Kazan,0,0,D,3.95,3.45,2.07,4.2,3.45,2.15,3.62,3.23,2.04
Russia,Premier League,2014/2015,13/08/2014,17:00,CSKA Moscow,Akhmat Grozny,1,0,H,1.56,4.25,6.82,1.58,4.3,7.7,1.5,3.92,6.49
Russia,Premier League,2014/2015,14/08/2014,15:30,Lokomotiv Moscow,FK Rostov,2,1,H,1.51,4.26,7.75,1.51,4.5,8.8,1.44,4.18,7.05
Russia,Premier League,2014/2015,14/08/2014,18:00,Krasnodar,Spartak Moscow,4,0,H,2.4,3.25,2.97,2.7,3.55,3.13,2.42,3.22,2.85
Russia,Premier League,2014/2015,15/08/2014,17:00,M. Saransk,Kuban,0,0,D,2.9,3.24,2.69,2.95,3.4,2.69,2.83,3.1,2.5
Russia,Premier League,2014/2015,16/08/2014,14:00,Ural,T. Moscow,0,2,A,1.66,3.87,6.03,1.73,4,6.4,1.67,3.62,5.05
Russia,Premier League,2014/2015,16/08/2014,17:00,Zenit,Ufa,1,0,H,1.18,8.92,16.07,1.18,9.4,21,1.16,7.06,15.35
Russia,Premier League,2014/2015,17/08/2014,10:30,CSKA Moscow,Spartak Moscow,0,1,A,1.98,3.76,3.92,2,3.95,4.65,1.92,3.45,3.77
Russia,Premier League,2014/2015,17/08/2014,13:00,Arsenal Tula,Dynamo Moscow,1,2,A,7.85,4.8,1.45,9.2,5.2,1.45,6.97,4.44,1.42
Russia,Premier League,2014/2015,17/08/2014,15:30,Rubin Kazan,Lokomotiv Moscow,1,1,D,3.07,3.22,2.57,3.2,3.27,2.6,2.87,3.11,2.47
Russia,Premier League,2014/2015,17/08/2014,18:00,FK Rostov,Krasnodar,0,2,A,3.91,3.55,2.05,4.15,3.65,2.15,3.45,3.38,2.05
Russia,Premier League,2014/2015,18/08/2014,17:00,Akhmat Grozny,M. Saransk,1,0,H,1.61,3.9,6.53,1.64,4.1,6.6,1.59,3.62,5.72
Russia,Premier League,2014/2015,18/08/2014,18:00,Kuban,Amkar,1,0,H,1.5,4.2,8.19,1.6,4.33,8.4,1.51,3.89,6.4
Russia,Premier League,2014/2015,22/08/2014,17:00,Akhmat Grozny,Arsenal Tula,3,0,H,1.51,4.44,7.24,1.53,4.44,8,1.47,4.05,6.79
Russia,Premier League,2014/2015,23/08/2014,11:00,Ufa,Spartak Moscow,1,2,A,5.32,4.02,1.69,7.5,4.33,1.7,5.72,3.94,1.55
Russia,Premier League,2014/2015,23/08/2014,14:00,Zenit,Amkar,2,0,H,1.24,7,13.1,1.27,7.27,16.26,1.23,5.96,10.92
Russia,Premier League,2014/2015,23/08/2014,17:00,Rubin Kazan,CSKA Moscow,2,1,H,3.45,3.22,2.35,3.45,3.3,2.42,3.13,3.14,2.27
Russia,Premier League,2014/2015,24/08/2014,10:30,Dynamo Moscow,Ural,2,0,H,1.36,5.03,10.61,1.37,5.1,10.61,1.34,4.82,8.29
Russia,Premier League,2014/2015,24/08/2014,13:30,T. Moscow,Krasnodar,0,3,A,4.74,3.94,1.79,5.4,3.94,1.8,4.55,3.53,1.74
Russia,Premier League,2014/2015,24/08/2014,16:30,Kuban,Lokomotiv Moscow,2,1,H,2.57,3.21,3.08,2.8,3.3,3.08,2.55,3.07,2.76
Russia,Premier League,2014/2015,24/08/2014,18:30,FK Rostov,M. Saransk,2,1,H,2.34,3.26,3.45,2.45,3.3,3.45,2.3,3.13,3.09
Russia,Premier League,2014/2015,29/08/2014,15:00,Ural,Akhmat Grozny,0,1,A,3.34,3.25,2.39,3.55,3.25,2.46,3.16,3.09,2.29
Russia,Premier League,2014/2015,30/08/2014,11:00,M. Saransk,T. Moscow,1,0,H,1.99,3.4,4.38,2.01,3.4,5.3,1.89,3.27,4.14
Russia,Premier League,2014/2015,30/08/2014,14:00,Amkar,Spartak Moscow,2,0,H,5.26,3.79,1.75,6,3.85,1.79,4.89,3.53,1.7
Russia,Premier League,2014/2015,30/08/2014,17:00,Arsenal Tula,Kuban,0,1,A,4.67,3.65,1.86,5.2,3.65,1.95,4.34,3.41,1.81
Russia,Premier League,2014/2015,31/08/2014,10:30,CSKA Moscow,FK Rostov,6,0,H,1.48,4.46,7.98,1.5,5,10.45,1.38,4.5,7.85
Russia,Premier League,2014/2015,31/08/2014,13:00,Rubin Kazan,Ufa,1,1,D,1.56,4.18,6.8,1.57,4.45,8,1.5,3.94,6.4
Russia,Premier League,2014/2015,31/08/2014,15:00,Lokomotiv Moscow,Zenit,0,1,A,4.3,3.53,1.96,5.7,3.85,2.02,4.28,3.43,1.82
Russia,Premier League,2014/2015,31/08/2014,17:15,Krasnodar,Dynamo Moscow,0,2,A,2.7,3.33,2.82,2.7,3.46,3.05,2.49,3.23,2.74
Russia,Premier League,2014/2015,13/09/2014,10:30,CSKA Moscow,Arsenal Tula,2,1,H,1.21,6.96,18.99,1.22,8.3,23,1.19,6.38,13.5
Russia,Premier League,2014/2015,13/09/2014,13:00,Lokomotiv Moscow,M. Saransk,1,1,D,1.49,4.32,8.06,1.6,4.32,8.06,1.5,3.89,6.67
Russia,Premier League,2014/2015,13/09/2014,15:30,Zenit,Dynamo Moscow,3,2,H,2.03,3.7,3.8,2.2,3.8,4,1.95,3.44,3.68
Russia,Premier League,2014/2015,13/09/2014,18:00,FK Rostov,Rubin Kazan,1,2,A,3.2,3.35,2.41,3.6,3.35,2.41,3.12,3.13,2.29
Russia,Premier League,2014/2015,14/09/2014,10:30,Spartak Moscow,T. Moscow,3,1,H,1.4,5.05,9,1.4,6,13,1.33,4.9,8.75
Russia,Premier League,2014/2015,14/09/2014,16:00,Krasnodar,Ufa,0,2,A,1.38,4.96,10.63,1.45,5.4,13,1.37,4.38,8.71
Russia,Premier League,2014/2015,15/09/2014,14:00,Amkar,Ural,2,1,H,2.21,3.3,3.71,2.32,3.4,3.8,2.15,3.16,3.4
Russia,Premier League,2014/2015,15/09/2014,17:00,Akhmat Grozny,Kuban,0,0,D,2.24,3.33,3.59,2.35,3.33,3.59,2.2,3.15,3.31
Russia,Premier League,2014/2015,19/09/2014,17:00,Arsenal Tula,M. Saransk,0,1,A,2.89,3.24,2.71,3.08,3.24,2.85,2.79,3.04,2.57
Russia,Premier League,2014/2015,20/09/2014,09:00,Ufa,Ural,0,1,A,2.43,3.17,3.36,2.5,3.25,3.5,2.39,3.04,3.05
Russia,Premier League,2014/2015,20/09/2014,11:30,FK Rostov,Zenit,0,5,A,8.42,5.09,1.41,9,5.5,1.45,7.72,4.54,1.38
Russia,Premier League,2014/2015,20/09/2014,14:00,Kuban,Rubin Kazan,2,1,H,2.37,3.31,3.29,2.41,3.4,3.49,2.22,3.16,3.24
Russia,Premier League,2014/2015,20/09/2014,17:00,Spartak Moscow,Akhmat Grozny,1,1,D,1.95,3.54,4.3,2.02,3.75,5.07,1.88,3.37,4.1
Russia,Premier League,2014/2015,21/09/2014,10:30,CSKA Moscow,Lokomotiv Moscow,1,0,H,1.75,3.83,5.17,1.83,3.83,5.41,1.74,3.49,4.73
Russia,Premier League,2014/2015,22/09/2014,14:00,Amkar,Krasnodar,1,2,A,3.62,3.33,2.22,3.96,3.6,2.28,3.35,3.2,2.15
Russia,Premier League,2014/2015,22/09/2014,17:00,T. Moscow,Dynamo Moscow,1,3,A,7.34,5,1.45,10.25,5.2,1.45,7.23,4.49,1.4
Russia,Premier League,2014/2015,27/09/2014,10:30,Ural,CSKA Moscow,3,4,A,5.47,4.01,1.68,6.5,4.15,1.73,5.3,3.7,1.63
Russia,Premier League,2014/2015,27/09/2014,13:00,M. Saransk,Ufa,0,2,A,2.06,3.38,4.1,2.07,3.45,4.4,1.98,3.29,3.78
Russia,Premier League,2014/2015,27/09/2014,15:30,Zenit,Spartak Moscow,0,0,D,1.58,4.36,6.15,1.62,4.75,6.4,1.55,4.03,5.52
Russia,Premier League,2014/2015,28/09/2014,10:30,Dynamo Moscow,Kuban,2,2,D,1.74,3.82,5.3,1.76,4,5.8,1.68,3.59,4.95
Russia,Premier League,2014/2015,28/09/2014,13:00,Lokomotiv Moscow,Amkar,3,1,H,1.5,4.4,7.82,1.55,4.45,7.82,1.5,3.96,6.52
Russia,Premier League,2014/2015,28/09/2014,15:30,Krasnodar,Arsenal Tula,3,0,H,1.33,5.5,11,1.35,6.3,12,1.3,5.12,9.45
Russia,Premier League,2014/2015,28/09/2014,18:00,Akhmat Grozny,FK Rostov,2,1,H,1.49,4.59,7.38,1.5,4.75,8.05,1.44,4.16,7.14
Russia,Premier League,2014/2015,29/09/2014,17:00,Rubin Kazan,T. Moscow,2,1,H,1.53,4.52,6.61,1.53,4.65,8,1.47,4.1,6.58
Russia,Premier League,2014/2015,18/10/2014,11:30,CSKA Moscow,Kuban,6,0,H,1.81,3.6,5.19,1.85,3.7,5.6,1.73,3.44,4.85
Russia,Premier League,2014/2015,18/10/2014,14:00,Krasnodar,Zenit,2,2,D,3.47,3.48,2.22,4,3.5,2.28,3.47,3.29,2.08
Russia,Premier League,2014/2015,18/10/2014,16:30,Lokomotiv Moscow,Akhmat Grozny,2,1,H,2.28,3.39,3.37,3,3.7,3.37,2.41,3.32,2.79
Russia,Premier League,2014/2015,19/10/2014,10:30,Ural,Spartak Moscow,2,0,H,4.08,3.54,2.01,4.4,3.6,2.01,3.95,3.32,1.91
Russia,Premier League,2014/2015,19/10/2014,13:30,Arsenal Tula,FK Rostov,1,1,D,2.97,3.38,2.54,3.08,3.38,2.6,2.88,3.19,2.41
Russia,Premier League,2014/2015,20/10/2014,14:00,Ufa,T. Moscow,1,1,D,2.3,3.3,3.51,2.31,3.35,3.75,2.16,3.17,3.36
Russia,Premier League,2014/2015,20/10/2014,16:30,Rubin Kazan,M. Saransk,5,0,H,1.58,4.02,6.96,1.67,4.02,6.96,1.56,3.71,5.99
Russia,Premier League,2014/2015,24/10/2014,14:00,Ural,Arsenal Tula,1,0,H,1.74,3.74,5.44,1.74,3.85,6.8,1.66,3.62,5.13
Russia,Premier League,2014/2015,25/10/2014,11:00,Amkar,FK Rostov,2,0,H,2.49,3.23,3.2,2.49,3.35,3.5,2.26,3.15,3.18
Russia,Premier League,2014/2015,25/10/2014,14:00,T. Moscow,Kuban,0,0,D,4.4,3.53,1.94,4.5,3.65,2.18,3.83,3.34,1.95
Russia,Premier League,2014/2015,26/10/2014,10:30,Spartak Moscow,Lokomotiv Moscow,1,1,D,2.45,3.37,3.12,2.51,3.5,3.3,2.37,3.21,2.93
Russia,Premier League,2014/2015,26/10/2014,10:30,Ufa,CSKA Moscow,3,3,D,8.5,4.74,1.43,9.7,4.85,1.5,7.25,4.28,1.43
Russia,Premier League,2014/2015,26/10/2014,16:00,Zenit,M. Saransk,5,0,H,1.17,7.9,20.64,1.2,8.7,26,1.15,7.12,17.87
Russia,Premier League,2014/2015,27/10/2014,15:45,Krasnodar,Akhmat Grozny,2,0,H,2.02,3.33,4.34,2.05,3.6,5.1,1.94,3.3,3.93
Russia,Premier League,2014/2015,27/10/2014,17:30,Dynamo Moscow,Rubin Kazan,0,2,A,1.7,3.89,5.51,1.75,4.1,7,1.65,3.63,5.17
Russia,Premier League,2014/2015,31/10/2014,16:00,FK Rostov,Ural,1,0,H,2.37,3.25,3.39,2.46,3.3,3.39,2.25,3.15,3.2
Russia,Premier League,2014/2015,01/11/2014,13:00,CSKA Moscow,Zenit,0,1,A,2.58,3.32,2.95,2.8,3.35,2.95,2.59,3.18,2.68
Russia,Premier League,2014/2015,02/11/2014,10:30,Lokomotiv Moscow,Dynamo Moscow,4,2,H,3.2,3.41,2.39,3.3,3.41,2.45,3.03,3.18,2.33
Russia,Premier League,2014/2015,02/11/2014,13:30,M. Saransk,Krasnodar,2,1,H,4.81,3.85,1.79,5.2,3.85,1.85,4.5,3.48,1.77
Russia,Premier League,2014/2015,02/11/2014,16:00,Kuban,Spartak Moscow,3,3,D,2.25,3.37,3.51,2.4,3.37,3.51,2.23,3.17,3.23
Russia,Premier League,2014/2015,03/11/2014,11:00,T. Moscow,Arsenal Tula,0,1,A,2.18,3.29,3.81,2.21,3.4,4,2.07,3.22,3.56
Russia,Premier League,2014/2015,03/11/2014,13:30,Rubin Kazan,Amkar,1,1,D,1.55,4.05,7.48,1.57,4.2,7.64,1.53,3.78,6.5
Russia,Premier League,2014/2015,03/11/2014,16:00,Akhmat Grozny,Ufa,1,0,H,1.52,4.15,7.97,1.53,4.55,8.8,1.46,3.96,7.35
Russia,Premier League,2014/2015,07/11/2014,14:00,Ural,Kuban,0,1,A,3.4,3.17,2.41,3.6,3.35,2.45,3.14,3.11,2.3
Russia,Premier League,2014/2015,08/11/2014,10:00,Amkar,M. Saransk,0,1,A,2.11,3.4,3.9,2.16,3.4,4,2.04,3.21,3.66
Russia,Premier League,2014/2015,08/11/2014,13:00,T. Moscow,Lokomotiv Moscow,0,1,A,5.37,3.65,1.78,5.9,3.85,1.8,4.85,3.48,1.72
Russia,Premier League,2014/2015,08/11/2014,16:00,Zenit,Akhmat Grozny,1,3,A,1.54,4.29,6.95,1.54,4.7,7.9,1.48,4.07,6.66
Russia,Premier League,2014/2015,09/11/2014,10:30,Dynamo Moscow,CSKA Moscow,1,0,H,3.05,3.45,2.46,3.15,3.55,2.62,2.82,3.26,2.43
Russia,Premier League,2014/2015,09/11/2014,12:00,Ufa,FK Rostov,0,0,D,2.96,3.24,2.64,3.05,3.3,2.7,2.78,3.1,2.55
Russia,Premier League,2014/2015,09/11/2014,12:45,Krasnodar,Rubin Kazan,2,0,H,2.16,3.31,3.79,2.32,3.31,3.8,2.11,3.19,3.5
Russia,Premier League,2014/2015,09/11/2014,15:00,Spartak Moscow,Arsenal Tula,2,0,H,1.44,4.78,8.35,1.44,5.2,9,1.39,4.41,7.93
Russia,Premier League,2014/2015,22/11/2014,09:00,Ural,Rubin Kazan,1,3,A,4.1,3.32,2.08,4.1,3.32,2.15,3.69,3.17,2.05
Russia,Premier League,2014/2015,22/11/2014,11:15,T. Moscow,FK Rostov,2,1,H,2.7,3.21,2.91,2.76,3.25,2.91,2.59,3.07,2.75
Russia,Premier League,2014/2015,22/11/2014,13:30,Krasnodar,CSKA Moscow,2,1,H,2.7,3.24,2.88,2.88,3.3,2.88,2.64,3.13,2.64
Russia,Premier League,2014/2015,22/11/2014,16:00,Zenit,Kuban,1,0,H,1.53,4.25,7.47,1.53,4.5,8.5,1.48,3.93,6.94
Russia,Premier League,2014/2015,23/11/2014,10:30,Dynamo Moscow,Akhmat Grozny,3,0,H,2.06,3.42,3.99,2.06,3.45,4.25,1.99,3.23,3.81
Russia,Premier League,2014/2015,23/11/2014,13:00,Arsenal Tula,Amkar,4,0,H,2.38,3.21,3.4,2.7,3.3,3.4,2.41,3.08,2.97
Russia,Premier League,2014/2015,23/11/2014,15:30,Spartak Moscow,M. Saransk,4,2,H,1.51,4.42,7.47,1.51,4.65,8.8,1.45,4.05,7.31
Russia,Premier League,2014/2015,24/11/2014,16:00,Lokomotiv Moscow,Ufa,0,0,D,1.47,4.37,8.59,1.47,4.55,10.5,1.42,4.16,7.82
Russia,Premier League,2014/2015,28/11/2014,16:00,FK Rostov,Amkar,1,1,D,1.91,3.37,4.91,2.14,3.55,5.3,1.89,3.22,4.3
Russia,Premier League,2014/2015,29/11/2014,10:30,Arsenal Tula,Ural,1,2,A,2.65,3.14,3.04,2.65,3.3,3.08,2.49,3.05,2.89
Russia,Premier League,2014/2015,29/11/2014,12:45,CSKA Moscow,Ufa,5,0,H,1.29,5.75,13,1.31,6.6,16,1.27,5.18,10.63
Russia,Premier League,2014/2015,29/11/2014,15:00,M. Saransk,Zenit,1,0,H,7.82,4.53,1.48,8.7,4.9,1.5,7.02,4.25,1.44
Russia,Premier League,2014/2015,29/11/2014,17:15,Kuban,T. Moscow,1,1,D,1.47,4.35,8.7,1.47,4.95,9.6,1.42,4.15,7.68
Russia,Premier League,2014/2015,30/11/2014,10:30,Lokomotiv Moscow,Spartak Moscow,1,0,H,2.27,3.37,3.47,2.6,3.37,3.47,2.3,3.15,3.11
Russia,Premier League,2014/2015,30/11/2014,13:00,Rubin Kazan,Dynamo Moscow,1,1,D,2.57,3.3,3.02,2.75,3.35,3.1,2.53,3.12,2.79
Russia,Premier League,2014/2015,30/11/2014,15:30,Akhmat Grozny,Krasnodar,0,1,A,2.54,3.23,3.1,2.68,3.25,3.1,2.42,3.09,2.93
Russia,Premier League,2014/2015,02/12/2014,16:00,Arsenal Tula,Ufa,0,1,A,2.32,3.18,3.59,2.4,3.25,3.59,2.24,3.07,3.29
